Response_ID,Section,Comment_Abbreviated,Theme_1,Theme_2,Theme_3,Substantive
0.13_R25,0.13 Helpful AI Interactions,"When I'd get an error, I'd give it to AI and often, it could tell me what I did wrong and how to fix it",Error diagnosis and debugging,,,Yes
0.13_R26,0.13 Helpful AI Interactions,"Often times I will just input my error messages into AI (specifically ChatGPT) and even without seeing my original code, it generates a successful fix for my code",Error diagnosis and debugging,,,Yes
0.13_R27,0.13 Helpful AI Interactions,"I thought the most helpful AI responses were the ones that gave me step by step instructions for the type of code to generate. By breaking it down, I could understand the point of each chunk",Step-by-step code explanations,,,Yes
0.13_R28,0.13 Helpful AI Interactions,Putting in error code from R would 85% of the time be resolvable through AI directly. Otherwise I could ask for alternative methods to alter my code,Error diagnosis and debugging,,,Yes
0.13_R29,0.13 Helpful AI Interactions,"I would ask it to help me with something, and then it would output the code and the reasoning behind the code and how it works",Step-by-step code explanations,,,Yes
0.13_R30,0.13 Helpful AI Interactions,It helped me be able to make graphs and complete exercises. It helped me understand what was going on in general. And it always showed different ways to write the code,Code generation for novel analyses,Code optimization and improvement,,Yes
0.13_R31,0.13 Helpful AI Interactions,Having an idea on how you want data to be analyzed but not being sure of what kind of graphic would be best suited for that. AI can suggest a few different methods and write the bulk of the code required,Brainstorming analyses and visualizations,,,Yes
0.13_R32,0.13 Helpful AI Interactions,"Troubleshooting issues was when I found AI most effective, rendering problems and trying to understand coding terms",Error diagnosis and debugging,Syntax and function explanation,,Yes
0.13_R33,0.13 Helpful AI Interactions,All of the assignments like Making a graph for neon image data,General/non-specific,,,Yes
0.13_R34,0.13 Helpful AI Interactions,When I have difficulty running a code due to an error I will put the code and the feedback that R gave me on copilot and ask the AI to help me understand how to fix the code,Error diagnosis and debugging,,,Yes
0.13_R35,0.13 Helpful AI Interactions,Anything I don't know ai can help,General/non-specific,,,Yes
0.13_R36,0.13 Helpful AI Interactions,Not an exact example but the answers that included step by step explanations of the code were helpful,Step-by-step code explanations,,,Yes
0.13_R37,0.13 Helpful AI Interactions,AI can help clean out a code chunk by replacing verbose patterns with simpler more readable alternatives - e.g. drop_na() instead of filter(!is.na()),Code optimization and improvement,,,Yes
0.13_R38,0.13 Helpful AI Interactions,My question to AI was: what's the difference between your solution and what I wrote? AI gave me a step by step explanation of (1) what my code does and (2) problems my code causes,Metacognitive code comparison,Step-by-step code explanations,Syntax and function explanation,Yes
0.13_R39,0.13 Helpful AI Interactions,What's wrong here? - You are getting this error because joinID does not exist in the right table. Check colnames() and rename before left_join(),Error diagnosis and debugging,,,Yes
0.13_R40,0.13 Helpful AI Interactions,AI fixing errors in my code,Error diagnosis and debugging,,,Yes
0.13_R41,0.13 Helpful AI Interactions,Providing multiple approaches,Code optimization and improvement,,,Yes
0.13_R42,0.13 Helpful AI Interactions,Most useful with chunks of code for statistical analysis and plots readibility,Code generation for novel analyses,,,Yes
0.13_R43,0.13 Helpful AI Interactions,NA,Excluded,,,Excluded
0.14_R01,0.14 Problematic AI Interactions,When it would tell me to use formulas that needed only numerical values but I had N/A in my values. It would tell me to use random names or column types that didn't exist,Hallucinated/assumed variable or function names,Domain-specific misinterpretation,,Yes
0.14_R02,0.14 Problematic AI Interactions,Sometimes if I had an error it would keep giving me incorrect codes to the point where nothing worked and I didn't know how to fix this issue,Repetitive incorrect suggestions,,,Yes
0.14_R03,0.14 Problematic AI Interactions,"When reading the soil mags + soil chem csv file to create Vibe code, AI would either reveal that the file is too big or pretend to read it. Either way it generated code with assumed variable/column names which were often incorrect",Domain-specific misinterpretation,Hallucinated/assumed variable or function names,,Yes
0.14_R04,0.14 Problematic AI Interactions,Many AI responses generate code that contain errors,General/non-specific,,,Yes
0.14_R05,0.14 Problematic AI Interactions,using AI for therapy,Non-substantive,,,Excluded
0.14_R06,0.14 Problematic AI Interactions,"The codes it would give me would have a lot of errors, but this was fine because you learn a lot by seeing where those mistakes are and how to fix them yourself",General/non-specific,,,Yes
0.14_R07,0.14 Problematic AI Interactions,When you're trying to fix a path directory error and you don't realize the proper names of the files are wrong and that's the secret reason why nothing is working,Environment-specific failures,Hallucinated/assumed variable or function names,,Yes
0.14_R08,0.14 Problematic AI Interactions,It takes a couple of tries for copilot to understand what is being asked which can be frustrating,Prompt specificity issues,,,Yes
0.14_R09,0.14 Problematic AI Interactions,"When it came to working with GitHub or other external R coding, AI was not able to give very helpful tips and was just reiterating the same response in different wording",Environment-specific failures,,,Yes
0.14_R10,0.14 Problematic AI Interactions,NA,Excluded,,,Excluded
0.14_R11,0.14 Problematic AI Interactions,You have to craft the question very specifically. The times AI gave unhelpful responses is when I don't prompt it correctly and sometimes it gives code using a library or function not part of the lesson we are working on,Prompt specificity issues,Hallucinated/assumed variable or function names,,Yes
0.14_R12,0.14 Problematic AI Interactions,When combining data frames I found that using AI wasn't as helpful as just referring back to the module. AI would overcomplicate things and sometimes I would lose some of my data,Overcomplicated solutions,Domain-specific misinterpretation,,Yes
0.14_R13,0.14 Problematic AI Interactions,AI isn't the best at helping with MAG data or anything in terms of troubleshooting for working directory,Domain-specific misinterpretation,Environment-specific failures,,Yes
0.14_R14,0.14 Problematic AI Interactions,AI responses that don't provide a code or give super complicated unrunnable codes,Overcomplicated solutions,Code provided without explanation,,Yes
0.14_R15,0.14 Problematic AI Interactions,"AI is very prompt-specific, so if a prompt does not reflect exactly what the person wants, it takes a lot of back and forth between the AI and the person to get a good result",Prompt specificity issues,,,Yes
0.14_R16,0.14 Problematic AI Interactions,sometimes it gives wrong names for column,Hallucinated/assumed variable or function names,,,Yes
0.14_R17,0.14 Problematic AI Interactions,Sometimes when I would get an error in my code I would ask AI what I did wrong and most of the time it did help me but sometimes it would not really give me proper guidance,Repetitive incorrect suggestions,,,Yes
0.14_R18,0.14 Problematic AI Interactions,AI telling me to install and load new libraries when I don't even need them,Overcomplicated solutions,,,Yes
0.14_R19,0.14 Problematic AI Interactions,It would occasionally give me a code that wouldn't run or it wouldn't explain why a certain code wasn't working,Code provided without explanation,,,Yes
0.14_R20,0.14 Problematic AI Interactions,giving just example code with no explanation,Code provided without explanation,,,Yes
0.14_R21,0.14 Problematic AI Interactions,There have been times where Copilot was wrong. I would have to work with it back and forth saying No that is not correct the error is coming up. However after I explained more it would show me the correct code most of the time,Repetitive incorrect suggestions,,,Yes
0.14_R22,0.14 Problematic AI Interactions,In the beginning of the class using AI was a challenge because I did not know the proper formatting or syntax. An example was me using the merge function instead of left join,Prompt specificity issues,,,Yes
0.14_R23,0.14 Problematic AI Interactions,If I used AI to generate new code it would often assume file/column names. When I input my edited code with corrected names it would solve problems but still using the file names it originally created,Hallucinated/assumed variable or function names,,,Yes
0.14_R24,0.14 Problematic AI Interactions,sometimes it would make the code too long and complicated when it could be more concise. It became really challenging when trying to use AI to help with uploading soilChem and NEONmag,Overcomplicated solutions,Domain-specific misinterpretation,,Yes
0.14_R25,0.14 Problematic AI Interactions,"Sometimes AI would suggest code that included words/phrases that weren't in the data set, so I struggled to know what I should enter instead",Hallucinated/assumed variable or function names,,,Yes
0.14_R26,0.14 Problematic AI Interactions,I was trying to join two data sets but the IDs had slightly different suffixes. The AI suggestion wasn't working and kept going around in the same circle. Eventually AI was able to make the join work but I am not sure how,Repetitive incorrect suggestions,Domain-specific misinterpretation,,Yes
0.14_R27,0.14 Problematic AI Interactions,I found that some of the unhelpful/incorrect AI responses had to do with it not listening to my requests or suggesting troubleshooting techniques that would not work,Repetitive incorrect suggestions,,,Yes
0.14_R28,0.14 Problematic AI Interactions,When AI would try to overcomplicate analysis that would not run and make me download a bunch of new libraries for one prompt. By end of lab 13 I had 6 libraries loaded,Overcomplicated solutions,,,Yes
0.14_R29,0.14 Problematic AI Interactions,Sometimes it would output code that did not do what I wanted; I would have to refine it repeatedly. Also sometimes the graphs it made would be cramped together and not legible,Repetitive incorrect suggestions,Code provided without explanation,,Yes
0.14_R30,0.14 Problematic AI Interactions,AI made some graphs that were not accurate or did not have a good set up. Also certain commands it was not good at using,Domain-specific misinterpretation,,,Yes
0.14_R31,0.14 Problematic AI Interactions,For more complicated data analysis there will be lines where you get an error and try to use AI to solve it. However it can't solve it (maybe due to package/R version incompatibility) and you end up going down a rabbit hole,Repetitive incorrect suggestions,Environment-specific failures,,Yes
0.14_R32,0.14 Problematic AI Interactions,"Would over-complicate simple exercises, adding unnecessary steps",Overcomplicated solutions,,,Yes
0.14_R33,0.14 Problematic AI Interactions,In lab S3 Connecting a Github repo site with a new RStudio project. It kept giving me wrong code to link and due to that the Lab was not loading,Environment-specific failures,,,Yes
0.14_R34,0.14 Problematic AI Interactions,When AI gives different variations of the same code and it still doesn't work after 30 minutes back and forth. Also AI using outdated syntax and misinterpreting data types,Repetitive incorrect suggestions,Overcomplicated solutions,,Yes
0.14_R35,0.14 Problematic AI Interactions,"some wrong solution making everything complicated, ai love to Change environment for some reasones",Overcomplicated solutions,Environment-specific failures,,Yes
0.14_R36,0.14 Problematic AI Interactions,Not an exact example but the answers that misinterpreted the prompts or didn't have the full data sets weren't helpful,Prompt specificity issues,Domain-specific misinterpretation,,Yes
0.14_R37,0.14 Problematic AI Interactions,"An unhelpful AI response might be overly vague. Another incorrect response could confidently suggest a function or method that doesn't exist, leaving the user confused and misled",Code provided without explanation,Hallucinated/assumed variable or function names,,Yes
0.14_R38,0.14 Problematic AI Interactions,Examples would be when code simply doesn't work due to package/R version incompatibility. One example: I wanted to do a heat map analysis of MAG data but had issues with converting data frame to matrix,Environment-specific failures,Domain-specific misinterpretation,Prompt specificity issues,Yes
0.14_R39,0.14 Problematic AI Interactions,Here is an answer with facts that are wrong or made up (hallucinating),Hallucinated/assumed variable or function names,,,Yes
0.14_R40,0.14 Problematic AI Interactions,AI going in the wrong direction about my code,Repetitive incorrect suggestions,,,Yes
0.14_R41,0.14 Problematic AI Interactions,"Misunderstanding the prompt, hallucinations",Prompt specificity issues,Hallucinated/assumed variable or function names,,Yes
0.14_R42,0.14 Problematic AI Interactions,"Hardest to solve problems. If something did not work or wrong answer, needed to figure it out mostly on my own, AI hardly could fix it",Repetitive incorrect suggestions,,,Yes
0.14_R43,0.14 Problematic AI Interactions,NA,Excluded,,,Excluded
0.15_R01,0.15 Suggested Changes for Future Course,More help on github pushing and just using github as a whole,GitHub/computing environment support,,,Yes
0.15_R02,0.15 Suggested Changes for Future Course,I think AI helped my learning experience. I would just add more to debugging and verifying AI like how to maybe do a monday class on this instead of a lab,Output verification instruction,Class discussion on AI use,,Yes
0.15_R03,0.15 Suggested Changes for Future Course,Lab reports should require students to report the prompt used to generate any code. One idea: use Monday discussions for class-wide or team/table debriefing on what sort of code we are getting from AI,Prompt documentation in labs,Class discussion on AI use,Prompting strategies instruction,Yes
0.15_R04,0.15 Suggested Changes for Future Course,The problems often felt designed in a way where AI use could easily solve them without requiring critical thinking. Problems that focus more on having students determine what steps would need to be taken could encourage greater learning,Assignment redesign,,,Yes
0.15_R05,0.15 Suggested Changes for Future Course,NA,Excluded,,,Excluded
0.15_R06,0.15 Suggested Changes for Future Course,Covering more on ethics and AI use,Ethics and citation guidance,,,Yes
0.15_R07,0.15 Suggested Changes for Future Course,NA,Excluded,,,Excluded
0.15_R08,0.15 Suggested Changes for Future Course,The Monday portion should be spent explaining what the lab on Wednesday will be. I found myself using AI a lot for things that I felt could have been discussed in class,Class discussion on AI use,,,Yes
0.15_R09,0.15 Suggested Changes for Future Course,Some assignments that focus more on NEON and soil chemistry content where AI is not used,Assignment redesign,Earlier NEON/MAG data engagement,,Yes
0.15_R10,0.15 Suggested Changes for Future Course,NA,Excluded,,,Excluded
0.15_R11,0.15 Suggested Changes for Future Course,I think it would be helpful to start off with examples of how we can prompt AI to guide us in answering our problems,Prompting strategies instruction,,,Yes
0.15_R12,0.15 Suggested Changes for Future Course,NA,Excluded,,,Excluded
0.15_R13,0.15 Suggested Changes for Future Course,n/a,Excluded,,,Excluded
0.15_R14,0.15 Suggested Changes for Future Course,"Maybe more AI use towards the end of a specific subject so students have time to actually learn about the topic first (e.g. No AI use allowed Monday to introduce topic, AI use allowed in Wednesday labs)",R fundamentals before AI,,,Yes
0.15_R15,0.15 Suggested Changes for Future Course,Incorporating learning R code without AI first would help give students a baseline of what R code should look and function like without having to rely on AI too much,R fundamentals before AI,,,Yes
0.15_R16,0.15 Suggested Changes for Future Course,maybe not allow AI until a little further into the course and making the assignments not so full so that we could focus on learning rather than just getting all the assignments done,R fundamentals before AI,,,Yes
0.15_R17,0.15 Suggested Changes for Future Course,Using AI and giving it some background before asking questions so it has the knowledge to help instead of pulling information from irrelevant places,Prompting strategies instruction,,,Yes
0.15_R18,0.15 Suggested Changes for Future Course,Nothing right now,Excluded,,,Excluded
0.15_R19,0.15 Suggested Changes for Future Course,The class relied too heavily on AI. It would have been helpful to have the first couple of weeks without AI so we could learn the basics of R. Also I didn't learn how to properly cite AI sources,R fundamentals before AI,Ethics and citation guidance,,Yes
0.15_R20,0.15 Suggested Changes for Future Course,NA,Excluded,,,Excluded
0.15_R21,0.15 Suggested Changes for Future Course,AI definitely brought my abilities of working with R to the next level. The only thing I'd recommend is going over how to verify the AI outputs because sometimes I would get the wrong code or unnecessary packages,Output verification instruction,,,Yes
0.15_R22,0.15 Suggested Changes for Future Course,I would think it would be great if we could get to the MAG data earlier in the class and learn more about different metagenomic analyses,Earlier NEON/MAG data engagement,,,Yes
0.15_R23,0.15 Suggested Changes for Future Course,"It was sometimes confusing to know exactly how to cite AI in the course, so more clarity on when/how it should be used in the earlier labs would be helpful",Ethics and citation guidance,,,Yes
0.15_R24,0.15 Suggested Changes for Future Course,Many of us had no background use of coding at all and we jumped in quickly so I would depend on AI a lot to simply just get my work done,R fundamentals before AI,,,Yes
0.15_R25,0.15 Suggested Changes for Future Course,NA,Excluded,,,Excluded
0.15_R26,0.15 Suggested Changes for Future Course,"AI skyrocketed my coding capabilities. However I don't feel very confident coding without AI. This class would benefit from spending more time on R basics before moving to advanced R coding. Maybe first half = basics, second half = AI-based coding and analysis",R fundamentals before AI,,,Yes
0.15_R27,0.15 Suggested Changes for Future Course,N/A,Excluded,,,Excluded
0.15_R28,0.15 Suggested Changes for Future Course,Ask people to discuss their code or allow for independent projects. I really enjoyed the last lab that was open ended,Class discussion on AI use,Assignment redesign,,Yes
0.15_R29,0.15 Suggested Changes for Future Course,More instruction for how to ask AI questions to get the results you want. Also more help to verify if the results the AI produced actually answers the question. Also how to make AI create more legible graphs,Prompting strategies instruction,Output verification instruction,,Yes
0.15_R30,0.15 Suggested Changes for Future Course,More help with learning how to write code on your own before working AI into the course. The first few classes should be without AI and trying to do things on your own,R fundamentals before AI,,,Yes
0.15_R31,0.15 Suggested Changes for Future Course,Using some measure to prevent over-reliance on AI. Maybe having fewer exercises per lab but requiring students to annotate their code and explain what was accomplished by the finished code,Code annotation requirement,,,Yes
0.15_R32,0.15 Suggested Changes for Future Course,NA,Excluded,,,Excluded
0.15_R33,0.15 Suggested Changes for Future Course,More activities in the beginning of the course,R fundamentals before AI,,,Yes
0.15_R34,0.15 Suggested Changes for Future Course,I had hoped the class would be more focused on the NEON Lab data. We only engaged with the dataset for the last 2 weeks. Introducing and working with the data earlier would have helped understand the value of coding for biological data,Earlier NEON/MAG data engagement,,,Yes
0.15_R35,0.15 Suggested Changes for Future Course,NA,Excluded,,,Excluded
0.15_R36,0.15 Suggested Changes for Future Course,"Have a class specifically for how to ask copilot for help with R coding, including how to write a helpful prompt and dissect the answers so you are able to use them in your actual code",Prompting strategies instruction,Class discussion on AI use,,Yes
0.15_R37,0.15 Suggested Changes for Future Course,NA,Excluded,,,Excluded
0.15_R38,0.15 Suggested Changes for Future Course,Debugging with AI is the most common issue because the work can be so nuanced. Maybe a brief overview of alpha/beta-diversity in class. Perhaps require students to explain what their code chunk does in the Quarto document above the code chunk,Output verification instruction,Code annotation requirement,Earlier NEON/MAG data engagement,Yes
0.15_R39,0.15 Suggested Changes for Future Course,N/A,Excluded,,,Excluded
0.15_R40,0.15 Suggested Changes for Future Course,NA,Excluded,,,Excluded
0.15_R41,0.15 Suggested Changes for Future Course,NA,Excluded,,,Excluded
0.15_R42,0.15 Suggested Changes for Future Course,I think it's like a calculator. You may need to check the equation yourself but it will be able to give you a decent starting point,General/non-specific,,,Yes
0.15_R43,0.15 Suggested Changes for Future Course,NA,Excluded,,,Excluded
0.16_R01,0.16 Final Comments and Reflections,"AI really did help and I feel like it is needed for advanced code based on the level of most students, it just made it so coding felt robotic and I learned a little less",AI was essential for course completion,Concern about over-reliance,,Yes
0.16_R02,0.16 Final Comments and Reflections,I liked being able to use AI but I wish I knew what to do if I fall down a rabbit hole of incorrect codes with CoPilot,Concern about over-reliance,,,Yes
0.16_R03,0.16 Final Comments and Reflections,Your suggestions of introducing the Vibe code mini labs earlier is interesting. It might be helpful showing final goals but might introduce advanced code too quickly and make students feel lost,Balance between AI and independent learning,,,Yes
0.16_R04,0.16 Final Comments and Reflections,NA,Excluded,,,Excluded
0.16_R05,0.16 Final Comments and Reflections,NA,Excluded,,,Excluded
0.16_R06,0.16 Final Comments and Reflections,"Very well structured, I learned a lot",Positive overall experience,,,Yes
0.16_R07,0.16 Final Comments and Reflections,NA,Excluded,,,Excluded
0.16_R08,0.16 Final Comments and Reflections,NA,Excluded,,,Excluded
0.16_R09,0.16 Final Comments and Reflections,NA,Excluded,,,Excluded
0.16_R10,0.16 Final Comments and Reflections,NA,Excluded,,,Excluded
0.16_R11,0.16 Final Comments and Reflections,The integration of AI is helpful in beginner courses as AI has a good way to dumb things down to explain why code produces its output. Having a conversation with AI helps the learner understand more than just reading the textbook,AI as personalized tutor,Positive overall experience,,Yes
0.16_R12,0.16 Final Comments and Reflections,NA,Excluded,,,Excluded
0.16_R13,0.16 Final Comments and Reflections,helped me feel like i could confidently code if asked to,AI improved confidence and capabilities,,,Yes
0.16_R14,0.16 Final Comments and Reflections,"Loved this class, Dr Blanchard was super helpful and made coding seem fun even though I have never liked to code. Love AI, makes sense for coding courses do not get rid of it completely",Positive overall experience,,,Yes
0.16_R15,0.16 Final Comments and Reflections,I enjoyed this class and performed analyses I never would have thought of without AI suggestions. I would have liked to learn coding without AI first to establish a foundation,Positive overall experience,R basics before AI preferred,AI enabled novel analyses,Yes
0.16_R16,0.16 Final Comments and Reflections,I would not have been able to complete this class without the assistance of AI. If you want to continue to have a large workload AI is 100% necessary. It is more on the individual student to make sure we actually learn,AI was essential for course completion,,,Yes
0.16_R17,0.16 Final Comments and Reflections,"With zero knowledge of coding when coming into this class, AI helped me learn things along the way and made my life so much easier",AI was essential for course completion,Positive overall experience,,Yes
0.16_R18,0.16 Final Comments and Reflections,No comments,Excluded,,,Excluded
0.16_R19,0.16 Final Comments and Reflections,"Good course to introduce someone to the use of AI in R, but would have been helpful/interesting to learn some of the basics beforehand",Positive overall experience,R basics before AI preferred,,Yes
0.16_R20,0.16 Final Comments and Reflections,"Without the help of AI, I don't think I would have been able to complete this course at all. Coding is just extremely hard for me, and using Copilot really helped to break it down into manageable chunks",AI was essential for course completion,,,Yes
0.16_R21,0.16 Final Comments and Reflections,This has been a great semester! This class was super interesting!,Positive overall experience,,,Yes
0.16_R22,0.16 Final Comments and Reflections,Thanks for a great semester!,Positive overall experience,,,Yes
0.16_R23,0.16 Final Comments and Reflections,The effectiveness of AI varies between students. AI could inhibit learning if used heavily at the beginning when we focused on R basics. I learned most from the beginning using AI only as an occasional troubleshooting tool,Balance between AI and independent learning,R basics before AI preferred,,Yes
0.16_R24,0.16 Final Comments and Reflections,NA,Excluded,,,Excluded
0.16_R25,0.16 Final Comments and Reflections,AI helped me understand and learn a lot more in this course than I could have otherwise without it!,Positive overall experience,AI improved confidence and capabilities,,Yes
0.16_R26,0.16 Final Comments and Reflections,See suggested changes for future offerings,Excluded,,,Excluded
0.16_R27,0.16 Final Comments and Reflections,This was a very cool class!,Positive overall experience,,,Yes
0.16_R28,0.16 Final Comments and Reflections,Using AI was appropriate in this course but wouldn't be effective in every course. I really enjoyed the skills that I learned in this class and will be adding to my resume!,Positive overall experience,Applied skills beyond course,,Yes
0.16_R29,0.16 Final Comments and Reflections,I wish there was less of a need to use AI. The first couple of labs were manageable without AI and I was actually learning. However after a certain point I relied on AI too much and wasn't learning anymore,AI was essential for course completion,Concern about over-reliance,R basics before AI preferred,Yes
0.16_R30,0.16 Final Comments and Reflections,I really did enjoy the course overall. I wish we learned a few more basic coding steps because I think I relied on AI too much. I still think it should be a big part of the course but with a little more coding without it at the start,Positive overall experience,Concern about over-reliance,Balance between AI and independent learning,Yes
0.16_R31,0.16 Final Comments and Reflections,I think AI has its place in the modern world but it should not eliminate the learning process. A balance needs to be found between AI use and organic learning,Balance between AI and independent learning,,,Yes
0.16_R32,0.16 Final Comments and Reflections,"Without AI for this course, I doubt I would have been able to do the labs on my own. I don't enjoy using AI and try to avoid it, but the way the class was formatted I couldn't figure out the issues without it",AI was essential for course completion,Concern about over-reliance,,Yes
0.16_R33,0.16 Final Comments and Reflections,AI really helped understanding the coding,Positive overall experience,,,Yes
0.16_R34,0.16 Final Comments and Reflections,"Using AI made me more comfortable with coding, and I am actually applying what I learned to one of my classes for a project",AI improved confidence and capabilities,Applied skills beyond course,,Yes
0.16_R35,0.16 Final Comments and Reflections,NA,Excluded,,,Excluded
0.16_R36,0.16 Final Comments and Reflections,None,Excluded,,,Excluded
0.16_R37,0.16 Final Comments and Reflections,NA,Excluded,,,Excluded
0.16_R38,0.16 Final Comments and Reflections,"Using AI is extremely helpful in a coding class. AI saved so much time on problem-solving and troubleshooting. It's important to responsibly use AI as a tool to help with understanding, not just to get the assignment done",Positive overall experience,AI improved confidence and capabilities,Applied skills beyond course,Yes
0.16_R39,0.16 Final Comments and Reflections,Thank you :),Excluded,,,Excluded
0.16_R40,0.16 Final Comments and Reflections,AI removes the need to spend hours learning coding and allows me to focus on more important things,AI was essential for course completion,,,Yes
0.16_R41,0.16 Final Comments and Reflections,NA,Excluded,,,Excluded
0.16_R42,0.16 Final Comments and Reflections,I genuinely think the point of AI is like computers and calculators to make complex work easier. We should not confuse a glorified calculator with a friend. Asking any question to AI comes with the understanding that it is only a computer,Balance between AI and independent learning,,,Yes
0.16_R43,0.16 Final Comments and Reflections,NA,Excluded,,,Excluded
